paper number,DOI,year,deposited_material (accurate),deposited_material,deposited_material(elements),RE,WE,WE(element),Electrolyte,El_conc,A_concentration,scan_rate,pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),current_density,onset_pot,ox_pot,ox_onset
1,https://doi.org/10.1016/j.jece.2019.102922,2019,"Pt0,5_Ni0,5_Oy/Ti",Pt_Ni_O,Pt_Ni_O,RHE,Ti,Ti,NaOH,1,1,10,"13,79","0,42","1,04","42,7","-0,406","0,214","0,62"
2,https://doi.org/10.1002/celc.201402291,2014,Ptt,Pt,Pt,RHE,Pt,Pt,H2SO4,"0,5","0,2",50,"0,59","0,68","0,84","0,425","0,64519","0,80519","0,16"
3,https://doi.org/10.20964/2018.10.03,2018,NiCo2O4/G,Ni_Co_O_G,Ni_Co_O_C,SCE,GE,C,KOH,1,1,5,"13,79","0,232","0,4",55,"0,476","0,644","0,168"
3,https://doi.org/10.20964/2018.10.03,2018,Au(20wt%)/G,Au_G,Au_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,412","0,13","24,52","-0,168","0,374","0,542"
3,https://doi.org/10.20964/2018.10.03,2018,Au/NiCo2O4(wt 6:1)/HPG,Au_Ni_Co_O_G,Au_Ni_Co_O_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,52","0,088","99,2","-0,276","0,332","0,608"
4,https://doi.org/10.1016/j.matpr.2017.12.386,2017,Pd/C,Pd_C,Pd_C,Ag/AgCl,GCD,C,KOH,"0,5",1,50,"13,89","-0,332","-0,06","9,18","-0,133","0,139","0,272"
4,https://doi.org/10.1016/j.matpr.2017.12.386,2017,Pd-Au/C cored,Pd_Au,Pd_Au,Ag/AgCl,GCD,C,KOH,"0,5",1,50,"13,89","-0,398","0,07","52,1","-0,199","0,269","0,468"
4,https://doi.org/10.1016/j.matpr.2017.12.386,2017,Au/C,Au_C,Au_C,Ag/AgCl,GCD,C,KOH,"0,5",1,50,"13,89","-0,243","0,4","40,4","-0,044","0,599","0,643"
5,https://doi.org/10.1039/c9ra09896h,2020,Pt� NiCo2O4 (wt 10 : 1)/HPG,Pt_Ni_Co_O_G,Pt_Ni_Co_O_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,648","-0,35","52,36","-0,404","-0,106","0,298"
5,https://doi.org/10.1039/c9ra09896h,2020,Pt (30 wt%)/HPG,Pt_G,Pt_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,623","-0,315","35,78","-0,379","-0,071","0,308"
6,https://doi.org/10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ni_Ag_O_C,Ag/AgCl,GCE,C,NaOH,1,"0,1",20,"12,71","0,25","0,534","62,9","0,449","0,733","0,284"
5,https://doi.org/10.1039/c9ra09896h,2020,"Pt/C (E-TEK, 30%wt)",Pt_C,Pt,SCE,GCD,Pt,KOH,1,1,5,"13,79","-0,571","-0,285","18,42","-0,327","-0,041","0,286"
7,https://doi.org/10.55730/1300-0527.3506,2022,Pd/C(20 wt.% Pd),Pd_C,Pd_C,Ag/AgCl,GCD,Pd_C,KOH,"0,5","0,5",50,"13,56","-0,368","-0,0375","8,56","-0,169","0,1615","0,3305"
6,https://doi.org/10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ni_Ag_O_C,Ag/AgCl,GCE,C,NaOH,"0,34","0,1",20,"12,88","0,385","0,835","47,9","0,584","1,034","0,45"
7,https://doi.org/10.55730/1300-0527.3506,2022,PdCu150,Pd_Cu,Pd_Cu,Ag/AgCl,GCE,C,KOH,"0,5","0,5",50,"13,56","-0,5","0,048","36,02","-0,301","0,247","0,548"
6,https://doi.org/10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ni_Ag_O_C,Ag/AgCl,GCE,C,NaOH,1,"0,2",20,"13,02","0,25","0,652","91,67","0,449","0,851","0,402"
6,https://doi.org/10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ni_Ag_O_C,Ag/AgCl,GCE,C,NaOH,1,"0,3",20,"13,21","0,25","0,744","115,28","0,449","0,943","0,494"
6,https://doi.org/10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ni_Ag_O_C,Ag/AgCl,GCE,C,NaOH,1,"0,5",20,"13,45","0,25","0,773","129,17","0,449","0,972","0,523"
6,https://doi.org/10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ni_Ag_O_C,Ag/AgCl,GCE,C,NaOH,1,"0,4",20,"13,34","0,25","0,774","125,14","0,449","0,973","0,524"
8,https://doi.org/10.1007/s10853-022-07471-7,2022,an-AT,Au_Ti_O,Ti_O_Au,Ag/AgCl,SELF,Ti_O,NaOH,"0,1","0,5",50,"13,67","-0,15","0,6","13,956","0,049","0,799","0,75"
8,https://doi.org/10.1007/s10853-022-07471-7,2022,an-ACT,Au_Cu_Ti_O,Ti_O_Au_Cu,Ag/AgCl,SELF,Ti_O,NaOH,"0,1","0,5",50,"13,67","-0,087","0,3","4,56","0,112","0,499","0,387"
9,https://doi.org/10.1039/C9NR10084A,2020,Pd/C,Pd_C,Pd_C,Ag/AgCl,GCE,Pd_C,KOH,1,1,50,"13,79","-0,34","-0,15","4,04","-0,141","0,049","0,19"
9,https://doi.org/10.1039/C9NR10084A,2020,Pd NSA,Pd,Pd,Ag/AgCl,GCE,C,KOH,1,1,50,"13,79","-0,4","-0,142","2,89","-0,201","0,057","0,258"
9,https://doi.org/10.1039/C9NR10084A,2020,PdSn NSA,Pd_Sn,Pd_Sn,Ag/AgCl,GCE,C,KOH,1,1,50,"13,79","-0,4","-0,11","5,57","-0,201","0,089","0,29"
9,https://doi.org/10.1039/C9NR10084A,2020,PdBi NSA,Pd_Bi,Pd_Bi,Ag/AgCl,GCE,C,KOH,1,1,50,"13,79","-0,32","-0,01","7,87","-0,121","0,189","0,31"
9,https://doi.org/10.1039/C9NR10084A,2020,PdGa NSA,Pd_Ga,Pd_Ga,Ag/AgCl,GCE,C,KOH,1,1,50,"13,79","-0,4","-0,084","5,06","-0,201","0,115","0,316"
9,https://doi.org/10.1039/C9NR10084A,2020,PdIn NSA,Pd_In,Pd_In,Ag/AgCl,GCE,C,KOH,1,1,50,"13,79","-0,4","-0,048","5,6","-0,201","0,151","0,352"
9,https://doi.org/10.1039/C9NR10084A,2020,PdPb NSA,Pd_Pb,Pd_Pb,Ag/AgCl,GCE,C,KOH,1,1,50,"13,79","-0,4","-0,045","5,39","-0,201","0,154","0,355"
10,https://doi.org/10.1557/s43579-022-00234-0,2022,LaCo0.5Mn0.5O3 ,La_Co_Mn_O,La_Co_Mn_O,SCE,GCE,C,KOH,"0,5","0,5",100,"13,56","0,8",,"60,48","1,044",,"1,044"
10,https://doi.org/10.1557/s43579-022-00234-0,2022,LaMnO3,La_Mn_O,La_Mn_O,SCE,GCE,C,KOH,"0,5","0,5",100,"13,56","0,8",,"36,13","1,044",,"1,044"
11,https://doi.org/10.1007/s12274-022-4873-8,2022,PdMo/rGO,Pd_Mo_rGO,Pd_Mo_O_C,Hg/HgO,GCE,C,KOH,"0,5","0,5",50,"13,56","0,58","0,94","26,18","0,44","0,8","0,36"
11,https://doi.org/10.1007/s12274-022-4873-8,2022,PdMoSb/rGO,Pd_Mo_Sb_rGO,Pd_Mo_Sb_O_C,Hg/HgO,GCE,C,KOH,"0,5","0,5",50,"13,56","0,52","0,967","58,23","0,38","0,827","0,447"
12,https://doi.org/10.1038/s41467-022-33637-7,2022,NiOOH,Ni_O_OH,Ni_O_O_H,RHE,FTO,F_Sn_O,BB,,"0,01",10,9,"1,53","1,56",2,"0,999","1,029","0,03"
12,https://doi.org/10.1038/s41467-022-33637-7,2022,NiOOH,Ni_O_OH,Ni_O_O_H,RHE,FTO,F_Sn_O,BB,,"0,01",10,10,"1,51","1,54","2,15","0,92","0,95","0,03"
12,https://doi.org/10.1038/s41467-022-33637-7,2022,NiOOH,Ni_O_OH,Ni_O_O_H,RHE,FTO,F_Sn_O,BB,,"0,01",10,11,"1,46","1,5","1,8","0,811","0,851","0,04"
12,https://doi.org/10.1038/s41467-022-33637-7,2022,NiOOH,Ni_O_OH,Ni_O_O_H,RHE,FTO,F_Sn_O,BB,,"0,01",10,12,"1,43","1,49","1,5","0,722","0,782","0,06"
12,https://doi.org/10.1038/s41467-022-33637-7,2022,NiOOH,Ni_O_OH,Ni_O_O_H,RHE,FTO,F_Sn_O,KOH,"0,1","0,01",10,13,"1,4","1,613","3,36","0,633","0,846","0,213"
13,https://doi.org/10.1002/celc.202200015,2022,Pd/Mn3O4/C,Pd_Mn_O,Pd_Mn_O,NHE,GCE,C,KOH,2,"0,5",20,14,"-0,2","0,073","241,83","-0,2","0,073","0,273"
13,https://doi.org/10.1002/celc.202200015,2022,Pd/C,Pd_C,Pd_C,NHE,GCE,C,KOH,2,"0,5",20,"11,96","-0,2","0,083","107,09","-0,2","0,083","0,283"
13,https://doi.org/10.1002/celc.202200015,2022,Pd/C,Pd_C,Pd_C,NHE,GCE,C,KOH,2,1,20,"13,27","-0,23","0,079","131,71","-0,23","0,079","0,309"
13,https://doi.org/10.1002/celc.202200015,2022,Pd/C,Pd_C,Pd_C,NHE,GCE,C,KOH,2,"1,5",20,"13,62","-0,23","0,094","141,04","-0,23","0,094","0,324"
13,https://doi.org/10.1002/celc.202200015,2022,Pd/Mn3O4/C,Pd_Mn_O,Pd_Mn_O,NHE,GCE,C,KOH,2,1,20,"13,27","-0,2","0,13","372,45","-0,2","0,13","0,33"
13,https://doi.org/10.1002/celc.202200015,2022,Pd/C,Pd_C,Pd_C,NHE,GCE,C,KOH,2,2,20,"13,84","-0,23","0,1","157,6","-0,23","0,1","0,33"
13,https://doi.org/10.1002/celc.202200015,2022,Pd/Mn3O4/C,Pd_Mn_O,Pd_Mn_O,NHE,GCE,C,KOH,2,"1,5",20,"13,62","-0,2","0,179","409,18","-0,2","0,179","0,379"
13,https://doi.org/10.1002/celc.202200015,2022,Pd/Mn3O4/C,Pd_Mn_O,Pd_Mn_O,NHE,GCE,C,KOH,2,2,20,"13,84","-0,2","0,19","472,9","-0,2","0,19","0,39"
14,https://doi.org/10.1039/d2na00724j,2022,CuV (Co10%�CuV),Cu_V_Co,Cu_V_Co,RHE,GCE,C,KOH,1,"0,2",5,"13,02","1,39",,,"0,564",,"-0,564"
15,https://doi.org/10.1007/s12274-023-6288-4,2023,Pt/C(10% wt Pt),Pt_C,Pt_C,RHE,GCE,C,KOH,1,"0,2",50,"13,02","0,6","0,83",9,"-0,226","0,004","0,23"
15,https://doi.org/10.1007/s12274-023-6288-4,2023,Pt3Sn/hNCNC-10,Pt_Sn_N_C,Pt_Sn_N_C,RHE,CP,C,KOH,1,"0,2",50,"13,02","0,52","0,8",33,"-0,306","-0,026","0,28"
16,https://doi.org/10.1016/j.apcatb.2024.123986,2024,MnO2-CuO/Cupper Foam,Mn_O_Cu_O,Mn_O_Cu,RHE,CF,C,KOH,1,"0,1",,"12,71","1,3","1,7","678,57","0,474","0,874","0,4"
17,https://doi.org/10.1016/j.electacta.2024.144181,2024,Ag/C,Ag_C,Ag_C,RHE,GCE,C,NaOH,"0,1",1,5,"13,98","0,8","1,16","5,56","0,0507","0,4107","0,36"
17,https://doi.org/10.1016/j.electacta.2024.144181,2024,Pt/C(10% wt Pt),Pt_C,Pt_C,RHE,GCE,C,NaOH,"0,1",1,5,"13,98","0,32","0,735","95,7","-0,4293","-0,0143","0,415"
17,https://doi.org/10.1016/j.electacta.2024.144181,2024,Ag80Pt20/C,Ag_Pt_C,Ag_Pt_C,RHE,GCE,C,NaOH,"0,1",1,5,"13,98","0,13","0,88","87,7","-0,6193","0,1307","0,75"
18,https://doi.org/10.1021/acsaem.2c00377,2022,PtBi/NF,Pt_Bi,Pt_Bi,RHE,NF,Ni,NaOH,2,2,50,14,"0,5","1,07",36,"-0,32541","0,24459","0,57"
18,https://doi.org/10.1021/acsaem.2c00377,2022,PtBiAu/NF,Pt_Bi_Au,Pt_Bi_Au,RHE,NF,Ni,NaOH,2,2,50,14,"0,46","1,29",60,"-0,36541","0,46459","0,83"
19,https://doi.org/10.1016/j.jcis.2024.03.119,2024,W-Co2P/NF,W_Co_P,W_Co_P,RHE,NF,Ni,KOH,1,"0,1",5,"12,71","1,3","1,72","259,55","0,47518","0,89518","0,42"
20,https://doi.org/10.1016/j.jpowsour.2022.231836,2022,Pt0.95-Bi0.05/TiN HNWs/CC ,P_Bi_Ti_N,P_Bi_Ti_N,RHE,CC,C,KOH,1,"0,05",20,"12,4","0,65","0,84","88,7","-0,176","0,014","0,19"
21,https://doi.org/10.1021/acsami.4c00917,2024,graphite Rod,C,C,Ag/AgCl,GE,C,KOH,"0,1","0,05","0,05","12,66","0,4",,"2,28","0,599",,"0,599"
22,https://doi.org/10.1007/s12274-021-3829-6,2021,PdNCs/NiO-uNPs,Pd_Ni_O,Pd_Ni_O,RHE,GCE,C,KOH,1,"0,5",10,"13,45","1,3","1,74","229,27","0,474","0,914","0,44"
23,https://doi.org/10.1016/j.electacta.2021.139394,2021,PdNPs@MnO2-PPy/GCE,Pd_Mn_O_Org,Pd_Mn_O_C_N_H_O,Ag/AgCl,GCE,C,KOH,"0,5","0,5",30,"13,56","-0,34","-0,2","240,2","-0,141","-0,001","0,14"
24,https://doi.org/10.1021/acscatal.1c04581,2021,Au Planar,Au,Au,RHE,SELF,Au,KOH,"0,5","0,1",50,"12,83","0,9","1,12",70,"0,09347","0,31347","0,22"
24,https://doi.org/10.1021/acscatal.1c04581,2021,RA-Au/Ni Foam,Au_Ni,Au_Ni,RHE,NF,Ni,KOH,1,"0,1",50,"12,71","0,87","1,3","237,02","0,044","0,474","0,43"
25,https://doi.org/10.1016/j.joei.2015.03.011,2016,Pt/C (E-TEK)/GE rod,Pt_C,Pt_C,SCE,GE,C,KOH,1,1,10,"13,79","-0,57","-0,25","20,4","-0,326","-0,006","0,32"
25,https://doi.org/10.1016/j.joei.2015.03.011,2016,Au_C/GE rod,Au_C,Au_C,SCE,GE,C,KOH,1,1,10,"13,79","-0,326","0,09","20,4","-0,082","0,334","0,416"
25,https://doi.org/10.1016/j.joei.2015.03.011,2016,Au-CeO2(wt 1.3:1)/C/GE rod,Au_Ce_O_C,Au_Ce_O_C,SCE,GE,C,KOH,1,1,10,"13,79","-0,516","-0,08","75,4","-0,272","0,164","0,436"
26,https://doi.org/10.1016/j.jcat.2021.09.005,2021,MnO2/ITO,Mn_O,Mn_O,RHE,ITO,In_Sn_O,BB,"0,1","0,1",10,9,"1,4",,,"0,869",,"-0,869"
27,https://doi.org/10.1002/smll.202104288,2021,MoOx/Pt,Pt_Mo_O,Mo_O_Pt,RHE,CP,C,KOH,1,"0,1",100,"12,71","0,56","0,78",45,"-0,266","-0,046","0,22"
27,https://doi.org/10.1002/smll.202104288,2021,MoOx/Pt,Pt_Mo_O,Mo_O_Pt,RHE,CP,C,KOH,1,"0,5",50,"13,45","0,62","0,86","81,6","-0,206","0,034","0,24"
28,https://doi.org/10.1016/j.jelechem.2021.115198,2021,LaNiO3,La_Ni_O,La_Ni_O,RHE,GCE,C,NaOH,"0,1","0,1",50,"12,96","1,38","1,8","8,64","0,61536","1,03536","0,42"
28,https://doi.org/10.1016/j.jelechem.2021.115198,2021,LaCoO3,La_Co_O,La_Co_O,RHE,GCE,C,NaOH,"0,1","0,1",50,"12,96","1,27","1,8","5,88","0,50536","1,03536","0,53"
29,https://doi.org/10.1016/j.ijhydene.2020.07.104,2020,Ni/PGE(6.92),Ni,Ni,Ag/AgCl,GE,C,NaOH,1,"0,1",50,"12,71","0,36","0,527","36,5","0,559","0,726","0,167"
30,https://doi.org/10.1021/acsaem.1c01920,2021,Pd/Vulcan,Pd_C,Pd_C,RHE,GCD,C,KOH,1,"0,1",50,"12,71","0,52","0,9","1,94","-0,306","0,074","0,38"
30,https://doi.org/10.1021/acsaem.1c01920,2021,Pd/C (20 wt %),Pd_C,Pd_C,RHE,GCD,Pd_C,KOH,1,"0,1",50,"12,71","0,58","0,9","0,47","-0,246","0,074","0,32"
30,https://doi.org/10.1021/acsaem.1c01920,2021,PdFe/rGO,Pd_Fe_rGO,Pd_Fe_O_C,RHE,GCD,C,KOH,1,"0,1",50,"12,71","0,52","0,9","2,3","-0,306","0,074","0,38"
30,https://doi.org/10.1021/acsaem.1c01920,2021,Pd/rGO,Pd_rGO,Pd_O_C,RHE,GCD,C,KOH,1,"0,1",50,"12,71","0,52","0,9","1,99","-0,306","0,074","0,38"
30,https://doi.org/10.1021/acsaem.1c01920,2021,PdFe/Vulcan,Pd_Fe_C,Pd_Fe_C,RHE,GCD,C,KOH,1,"0,1",50,"12,71","0,52","0,9","1,59","-0,306","0,074","0,38"
31,https://doi.org/10.1016/j.jcis.2021.05.079,2021,Pd9Ru1 NSs,Pd_Ru,Pd_Ru,SCE,GCE,C,KOH,1,1,50,"13,79","-0,4264","-0,1676","6,98","-0,1824","0,0764","0,2588"
32,https://doi.org/10.33961/jecst.2020.01102,2021,Pd-Pt(10:10) /C /Ni,Pd_Pt_C,Pd_Pt_C,Ag/AgCl,Ni,Ni,KOH,1,1,50,"13,79","-0,5","-0,133","24,51","-0,301","0,066","0,367"
32,https://doi.org/10.33961/jecst.2020.01102,2021,Pd/C/Ni,Pd_C,Pd_C,Ag/AgCl,Ni,Ni,KOH,1,1,50,"13,79","-0,5","0,157","11,97","-0,301","0,356","0,657"
33,https://doi.org/10.1002/cjce.24107,2021,Pd-Ni (16:4)/C,Pd_Ni_C,Pd_Ni_C,Ag/AgCl,CP,Ni_C,KOH,1,1,50,"13,79","-0,5","-0,103","19,45","-0,301","0,096","0,397"
34,https://doi.org/10.1016/j.jcis.2021.09.107,2021,Pt/Poly(CC-co-BP)-RGO,Pt_Org_rGO,Pt_C_N_O_H_O_C,SCE,CP,C,KOH,"0,5","0,5",50,"13,56","-0,74","-0,1","32,38","-0,496","0,144","0,64"
34,https://doi.org/10.1016/j.jcis.2021.09.107,2021,Pt-Au/Poly(CC-co-BP)-RGO,Pt_Au_Org_rGO,Pt_Au_C_N_H_O_O_C,SCE,CP,C,KOH,"0,5","0,5",50,"13,56","-0,96","-0,1","74,1","-0,716","0,144","0,86"
35,https://doi.org/10.1021/acs.nanolett.0c04395,2021,Au-Ag-Pd alloy nanowires,Au_Ag_Pd,Au_Ag_Pd,RHE,SELF,C,KOH,1,1,50,"13,79","0,6479","0,9487","9,1","-0,1781","0,1227","0,3008"
36,https://doi.org/10.1016/j.apsusc.2021.149055,2021,PdRu/C,Pd_Ru_C,Pd_Ru_C,NHE,GCE,C,KOH,1,1,20,"13,79","-0,28","0,09","14,11","-0,28","0,09","0,37"
36,https://doi.org/10.1016/j.apsusc.2021.149055,2021,PdIr/C,Pd_Ir_C,Pd_Ir_C,NHE,GCE,C,KOH,1,1,20,"13,79","-0,31","0,0916","13,96","-0,31","0,0916","0,4016"
36,https://doi.org/10.1016/j.apsusc.2021.149055,2021,Pd/C,Pd_C,Pd_C,NHE,GCE,C,KOH,1,1,20,"13,79","-0,25","0,167","15,83","-0,25","0,167","0,417"
36,https://doi.org/10.1016/j.apsusc.2021.149055,2021,PdPt/C,Pd_Pt_C,Pd_Pt_C,NHE,GCE,C,KOH,1,1,20,"13,79","-0,36","0,2","29,74","-0,36","0,2","0,56"
37,https://doi.org/10.1007/s10800-020-01426-z,2020,Pt/C/ GE paper,Pt_C,Pt_C,RHE,GE,C,HClO4,"0,1",1,50,"-0,03","0,65","0,95","0,32","0,591","0,891","0,3"
37,https://doi.org/10.1007/s10800-020-01426-z,2020,PtAuPdAg/GE paper,Pt_Au_Pd_Ag,Pt_Au_Pd_Ag,RHE,GE,C,HClO4,"0,1",1,50,"-0,03","0,36","0,66","1,15","-0,3893","-0,0893","0,3"
37,https://doi.org/10.1007/s10800-020-01426-z,2020,Pt/C/ GE paper,Pt_C,Pt_C,RHE,GE,C,KOH,"0,1",1,50,"13,98","0,6",1,"0,49","-0,1493","0,2507","0,4"
37,https://doi.org/10.1007/s10800-020-01426-z,2020,PtAuPdAg/GE paper,Pt_Au_Pd_Ag,Pt_Au_Pd_Ag,RHE,GE,C,KOH,"0,1",1,50,"13,98","0,54","1,09","8,9","-0,2093","0,3407","0,55"
38,https://doi.org/10.1002/celc.202300555,2024,Pt/C (19 wt % ),Pt_C,Pt_C,Hg/HgO,GCE,C,NaOH,"0,1","0,5",10,"13,67","-0,4","-0,0365","8,03","-0,54","-0,1765","0,3635"
38,https://doi.org/10.1002/celc.202300555,2024,Pt52(CeO2)48/C (18 wt%),Pt_Ce_O_C,Pt_Ce_O_C,Hg/HgO,GCE,C,NaOH,"0,1","0,5",10,"13,67","-0,4","0,0192","14,075","-0,54","-0,1208","0,4192"
39,https://doi.org/10.1016/j.ijhydene.2020.07.150,2020,Pd58Cu32Ir10 NCs,Pd_Cu_Ir,Pd_Cu_Ir,Ag/AgCl,GCE,C,KOH,1,1,50,"13,79","-0,3","-0,08095","79,5398","-0,101","0,11805","0,21905"
40,https://doi.org/10.1039/d0nj03219k,2020,Au/C,Au_C,Au_C,Ag/AgCl,GCE,C,NaOH,"0,5",1,50,"13,89","-0,1","0,6564","23,1","0,099","0,8554","0,7564"
40,https://doi.org/10.1039/d0nj03219k,2020,AuCeO2/C,Au_Ce_O_C,Au_Ce_O_C,Ag/AgCl,GCE,C,NaOH,"0,5",1,50,"13,89","-0,2","0,723","61,93","-0,001","0,922","0,923"
41,https://doi.org/10.1002/slct.202001564,2020,NiFe/ERGO/CE,Ni_Fe_rGO,Ni_Fe_O_C,Ag/AgCl,CC,C,KOH,"0,1","0,005",50,"11,66","0,45","0,83","119,25","0,649","1,029","0,38"
42,https://doi.org/10.1002/slct.202001563,2020,NiCu/ERGO/CE,Ni_Cu_rGO,Ni_Cu_O_C,Ag/AgCl,CC,C,KOH,"0,1","0,005",50,"11,66","0,42","0,81","137,14","0,619","1,009","0,39"
43,https://doi.org/10.1002/slct.202001562,2020,NiCuFe-ANPs/CE,Ni_Cu_Fe,Ni_Cu_Fe,Ag/AgCl,CC,C,KOH,"0,1","0,005",50,"11,66","0,41","0,82","145,32","0,609","1,019","0,41"
44,https://doi.org/10.1002/slct.202001561,2020,NiCuFe-ANPs/ERGO/CE,Ni_Cu_Fe_rGO,Ni_Cu_Fe_O_C,Ag/AgCl,CC,C,KOH,"0,1","0,005",50,"11,66","0,36","0,8","170,35","0,559","0,999","0,44"
45,https://doi.org/10.17576/jsm-2020-4912-26,2020,Pd/CNF,Pd_CNF,Pd_C,SCE,GCE,C,KOH,1,"0,5",50,"13,45","-0,4","-0,12",50,"-0,156","0,124","0,28"
45,https://doi.org/10.17576/jsm-2020-4912-26,2020,Au/CNF,Au_CNF,Au_C,SCE,GCE,C,KOH,1,"0,5",50,"13,45","-0,4","-0,1",45,"-0,156","0,144","0,3"
45,https://doi.org/10.17576/jsm-2020-4912-26,2020,PdAu/CNF,Pd_Au_CNF,Pd_Au_C,SCE,GCE,C,KOH,1,"0,5",50,"13,45","-0,4","-0,09",70,"-0,156","0,154","0,31"
46,https://doi.org/10.1039/D0TA02509G,2020,75ALD(SnO2)-Pt/C (HT),Pt_Sn_O_C,Pt_Sn_O_C,SHE,GCE,C,H2SO4,"0,5",2,50,"-0,32","0,556","0,856","0,428","0,556","0,856","0,3"
